date,provider,fuel_type,price_min,price_avg,station_count
2026-04-19,Circle K,petrol_95,1.784,1.784,85.0
2026-04-19,Circle K,petrol_98,1.854,1.854,85.0
2026-04-19,Circle K,diesel,2.054,2.054,85.0
2026-04-19,Circle K,diesel_plus,2.184,2.184,85.0
2026-04-19,Neste,petrol_95,1.767,1.767,70.0
2026-04-19,Neste,petrol_98,1.837,1.837,70.0
2026-04-19,Neste,diesel,2.037,2.037,70.0
2026-04-19,Neste,diesel_plus,2.167,2.167,70.0
2026-04-19,Virši,petrol_95,1.767,1.767,1.0
2026-04-19,Virši,petrol_98,1.837,1.837,1.0
2026-04-19,Virši,diesel,2.037,2.037,1.0
2026-04-19,VIADA,petrol_95,1.707,1.707,11.0
2026-04-19,VIADA,petrol_98,1.812,1.812,11.0
2026-04-19,VIADA,diesel,2.034,2.034,11.0
2026-04-19,VIADA,cng,0.985,0.985,11.0
2026-04-20,Circle K,petrol_95,1.774,1.774,85.0
2026-04-20,Circle K,petrol_98,1.844,1.844,85.0
2026-04-20,Circle K,diesel,2.034,2.034,85.0
2026-04-20,Circle K,diesel_plus,2.164,2.164,85.0
2026-04-20,Neste,petrol_95,1.767,1.767,70.0
2026-04-20,Neste,petrol_98,1.837,1.837,70.0
2026-04-20,Neste,diesel,1.967,1.967,70.0
2026-04-20,Neste,diesel_plus,2.097,2.097,70.0
2026-04-20,Virši,petrol_95,1.767,1.767,1.0
2026-04-20,Virši,petrol_98,1.837,1.837,1.0
2026-04-20,Virši,diesel,2.037,2.037,1.0
2026-04-20,VIADA,petrol_95,1.707,1.707,11.0
2026-04-20,VIADA,petrol_98,1.812,1.812,11.0
2026-04-20,VIADA,diesel,2.034,2.034,11.0
2026-04-20,VIADA,cng,0.985,0.985,11.0
2026-04-21,Circle K,petrol_95,1.734,1.734,85.0
2026-04-21,Circle K,petrol_98,1.804,1.804,85.0
2026-04-21,Circle K,diesel,1.904,1.904,85.0
2026-04-21,Circle K,diesel_plus,2.034,2.034,85.0
2026-04-21,Neste,petrol_95,1.717,1.717,70.0
2026-04-21,Neste,petrol_98,1.777,1.777,70.0
2026-04-21,Neste,diesel,1.887,1.887,70.0
2026-04-21,Neste,diesel_plus,1.997,1.997,70.0
2026-04-21,Virši,petrol_95,1.717,1.717,1.0
2026-04-21,Virši,petrol_98,1.787,1.787,1.0
2026-04-21,Virši,diesel,1.897,1.897,1.0
2026-04-21,VIADA,petrol_95,1.707,1.707,11.0
2026-04-21,VIADA,petrol_98,1.812,1.812,11.0
2026-04-21,VIADA,diesel,1.974,1.974,11.0
2026-04-21,VIADA,cng,0.985,0.985,11.0
2026-04-22,Circle K,petrol_95,1.774,1.774,85.0
2026-04-22,Circle K,petrol_98,1.844,1.844,85.0
2026-04-22,Circle K,diesel,1.947,1.947,85.0
2026-04-22,Circle K,diesel_plus,2.077,2.077,85.0
2026-04-22,Neste,petrol_95,1.757,1.757,70.0
2026-04-22,Neste,petrol_98,1.827,1.827,70.0
2026-04-22,Neste,diesel,1.917,1.917,70.0
2026-04-22,Neste,diesel_plus,2.047,2.047,70.0
2026-04-22,Virši,petrol_95,1.787,1.787,1.0
2026-04-22,Virši,petrol_98,1.857,1.857,1.0
2026-04-22,Virši,diesel,1.947,1.947,1.0
2026-04-22,VIADA,petrol_95,1.707,1.707,11.0
2026-04-22,VIADA,petrol_98,1.812,1.812,11.0
2026-04-22,VIADA,diesel,1.954,1.954,11.0
2026-04-22,VIADA,cng,0.985,0.985,11.0
2026-04-23,Circle K,petrol_95,1.764,1.764,85.0
2026-04-23,Circle K,petrol_98,1.834,1.834,85.0
2026-04-23,Circle K,diesel,1.927,1.927,85.0
2026-04-23,Circle K,diesel_plus,2.057,2.057,85.0
2026-04-23,Neste,petrol_95,1.757,1.757,70.0
2026-04-23,Neste,petrol_98,1.827,1.827,70.0
2026-04-23,Neste,diesel,1.917,1.917,70.0
2026-04-23,Neste,diesel_plus,2.047,2.047,70.0
2026-04-23,Virši,petrol_95,1.757,1.757,1.0
2026-04-23,Virši,petrol_98,1.844,1.844,1.0
2026-04-23,Virši,diesel,1.934,1.934,1.0
2026-04-23,VIADA,petrol_95,1.707,1.707,11.0
2026-04-23,VIADA,petrol_98,1.812,1.812,11.0
2026-04-23,VIADA,diesel,1.924,1.924,11.0
2026-04-23,VIADA,cng,0.985,0.985,11.0
2026-04-24,Circle K,petrol_95,1.764,1.764,85.0
2026-04-24,Circle K,petrol_98,1.834,1.834,85.0
2026-04-24,Circle K,diesel,1.894,1.894,85.0
2026-04-24,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-24,Neste,petrol_95,1.757,1.757,70.0
2026-04-24,Neste,petrol_98,1.827,1.827,70.0
2026-04-24,Neste,diesel,1.887,1.887,70.0
2026-04-24,Neste,diesel_plus,2.017,2.017,70.0
2026-04-24,Virši,petrol_95,1.774,1.774,1.0
2026-04-24,Virši,petrol_98,1.844,1.844,1.0
2026-04-24,Virši,diesel,1.904,1.904,1.0
2026-04-24,VIADA,petrol_95,1.707,1.707,11.0
2026-04-24,VIADA,petrol_98,1.812,1.812,11.0
2026-04-24,VIADA,diesel,1.894,1.894,11.0
2026-04-24,VIADA,cng,0.985,0.985,11.0
2026-04-25,Circle K,petrol_95,1.764,1.764,85.0
2026-04-25,Circle K,petrol_98,1.834,1.834,85.0
2026-04-25,Circle K,diesel,1.894,1.894,85.0
2026-04-25,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-25,Neste,petrol_95,1.757,1.757,70.0
2026-04-25,Neste,petrol_98,1.827,1.827,70.0
2026-04-25,Neste,diesel,1.887,1.887,70.0
2026-04-25,Neste,diesel_plus,2.017,2.017,70.0
2026-04-25,Virši,petrol_95,1.774,1.774,1.0
2026-04-25,Virši,petrol_98,1.844,1.844,1.0
2026-04-25,Virši,diesel,1.904,1.904,1.0
2026-04-25,VIADA,petrol_95,1.707,1.707,11.0
2026-04-25,VIADA,petrol_98,1.812,1.812,11.0
2026-04-25,VIADA,diesel,1.894,1.894,11.0
2026-04-25,VIADA,cng,0.985,0.985,11.0
2026-04-26,Circle K,petrol_95,1.764,1.764,85.0
2026-04-26,Circle K,petrol_98,1.834,1.834,85.0
2026-04-26,Circle K,diesel,1.894,1.894,85.0
2026-04-26,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-26,Neste,petrol_95,1.757,1.757,70.0
2026-04-26,Neste,petrol_98,1.827,1.827,70.0
2026-04-26,Neste,diesel,1.887,1.887,70.0
2026-04-26,Neste,diesel_plus,2.017,2.017,70.0
2026-04-26,Virši,petrol_95,1.774,1.774,1.0
2026-04-26,Virši,petrol_98,1.844,1.844,1.0
2026-04-26,Virši,diesel,1.904,1.904,1.0
